"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"177",177,"5/26 Military Road Merrylands 2160",3,1,1,420000,"2014-03-07",-33.8398692728206,150.989751569456,476.694668277573
"178",178,"4/17 Lansdowne Street Merrylands 2160",2,1,2,426500,"2014-03-04",-33.8456667418804,150.995896594131,1086.33837717489
"179",179,"9/102-104 Lackey Street Merrylands 2160",3,2,2,492000,"2014-03-01",-33.8466378272728,151.001734338236,1427.45452666873
"180",180,"36/100 Kenyons Rd Merrylands 2160",3,2,2,492000,"2014-02-27",-33.8370301964865,150.970140933511,2078.27050272058
"181",181,"17-19 Wallace Street Merrylands 2160",3,1,2,460000,"2014-01-21",-33.8301307167067,151.002083360684,1113.83216024662
"182",182,"9 Benedict Court Merrylands 2160",3,3,2,660000,"2014-01-11",-33.831645284701,150.997795262839,706.590692067813
"183",183,"4/11-13 Lansdowne Street Merrylands 2160",2,2,2,450000,"2014-01-10",-33.8459446438802,150.996230277697,1124.88283876773
"184",184,"4/11 Lansdowne Street Merrylands 2160",2,2,2,450000,"2014-01-10",-33.8459446438802,150.996230277697,1124.88283876773
"185",185,"4/121-123 John Street Merrylands 2160",3,2,2,510000,"2013-12-06",-33.8380413054666,151.001234692988,821.597288170292
"186",186,"7/35 KIMBERLEY Street Merrylands 2160",2,2,1,460000,"2013-11-29",-33.847530416142,150.998197258915,1353.0472636785
"187",187,"57A FOWLER Road Merrylands 2160",4,2,1,585000,"2013-11-18",-33.841491206689,150.974965951937,1729.87044422622
"188",188,"19/100 Kenyons Road Merrylands 2160",3,1,2,458000,"2013-11-08",-33.8375664287422,150.968801924479,2204.9964068978
"189",189,"3/9-11 Kimberley Street Merrylands 2160",2,2,1,410000,"2013-11-05",-33.8478275965191,151.000340008643,1469.30428610162
"190",190,"3/35 KIMBERLEY STREET Merrylands 2160",4,3,2,515000,"2013-10-28",-33.8475298713183,150.998193989973,1352.87564690071
"191",191,"16/100 Kenyons Road Merrylands 2160",3,2,2,465000,"2013-10-02",-33.8375828991819,150.969087998834,2178.71857144898
"192",192,"5/11-11a Ellis Street Merrylands 2160",3,2,1,470000,"2013-10-01",-33.8279302575756,150.977246691928,1698.14650832227
"193",193,"11/17 Willara Ave Merrylands 2160",3,1,2,446000,"2013-09-30",-33.8282647793313,150.981310992959,1374.70031043666
"194",194,"8/117-119 John Street Merrylands 2160",4,2,2,525000,"2013-09-28",-33.8380878250292,151.001559743193,852.028482903808
"195",195,"8/117 John Street Merrylands 2160",4,NA,NA,525000,"2013-09-28",-33.8380878250292,151.001559743193,852.028482903808
"196",196,"3/121 John Street Merrylands 2160",3,2,1,486000,"2013-08-23",-33.8380413054666,151.001234692988,821.597288170292
"197",197,"3/121-123 John Street Merrylands 2160",3,2,1,486000,"2013-08-23",-33.8380413054666,151.001234692988,821.597288170292
"198",198,"6/21-23 Yeend Street Merrylands 2160",3,1,1,420000,"2013-08-22",-33.8258688123086,150.987256025424,1261.97078028883
"199",199,"6/21-23 Yeend st Merrylands 2160",3,1,1,420000,"2013-08-22",-33.8258688123086,150.987256025424,1261.97078028883
"200",200,"1/35 Kimberley Street Merrylands 2160",3,2,2,485000,"2013-08-14",-33.847530416142,150.998197258915,1353.0472636785
"201",201,"1/35 KIMBERLEY STREET Merrylands 2160",3,2,2,485000,"2013-08-14",-33.847530416142,150.998197258915,1353.0472636785
"202",202,"4/352-356 Merrylands Road Merrylands 2160",2,1,1,378000,"2013-08-05",-33.8348942361003,150.980188907581,1158.22784779622
"203",203,"32/58 Lansdowne Street Merrylands 2160",3,2,2,436000,"2013-08-02",-33.8460024371026,150.992351468183,1080.31478129026
"204",204,"3/36 Manchester Street Merrylands 2160",3,1,NA,370000,"2013-08-01",-33.8315534609517,150.989177576727,615.904140585464
